list,item,cond,sentence,has_question_1,question_1,has_question_2,question_2
1,L_N18,n,"Wir können unsere Kinder nicht weiterhin <br> nur wegen einem leichten Schnupfen zu Hause einsperren. <br> In dieser Jahreszeit hieße das: dauerhafte Isolation für Millionen Kinder. <br> Wir brauchten zukünftig härtere, aber andere Maßnahmen. <br> Aber nicht länger <b>einen Lockdown</b>. <br> Das ist eine Politik, die das echte Leben nicht mehr versteht.",y,Wie spricht der Autor über die Lockdown-Maßnahme?,y,Suggeriert der Text etwas über die Lockdown-Maßnahme?
1,L_K19,k,Lockdown gefährdet Existenz der Bekleidungsindustrie: <br> Die gähnende <b>Lockdown-Leere</b> auf der Frankfurter Zeil <br> macht Einzelhändlern zu schaffen.,y,Wie spricht der Autor über die Leere auf der Frankfurter Zeil?,y,Suggeriert der Text etwas über die Leere?
1,L_P20,p,<b>Herzloser Vermieter</b> lässt die Mieter frieren: <br> Seit dem ersten Weihnachtstag haben die alleinerziehende Mutter Tanja Cramer <br> und ihre vier Kinder aus Frankfurt keine Heizung. <br> Nach der Beschwerde kommt Bewegung in die Sache. <br> Ein defektes Teil der Heizungsanlage sei bestellt <br> und man wird sich um die Angelegenheit kümmern. Aber offenbar im Schleichtempo.,y,Wie spricht der Autor über den Vermieter?,y,Suggeriert der Text etwas über den Vermieter?
1,L_N21,n,"Conte ließ <b>Salvini</b> gewähren: <br> Italiens Premier Giuseppe Conte hatte bisher keinen Versuch unternommen, <br> seinen Innenminister Matteo Salvini zurückzupfeifen, <br> der über Monate über die sozialen Medien Giftpfeile <br> Richtung deutscher Bundesregierung und Richtung Brüssel abfeuerte.",y,Wie spricht der Autor über Matteo Salvini?,y,Suggeriert der Text etwas über Matteo Salvini?
1,P1,a,"Behördenfehler: Aufgrund einer groben Unachtsamkeit der Ausländerbehörde <br> muss die syrische Geflüchtete L. Deutschland verlassen. <br> Bekannte von L. organisieren nun eine Demonstration für ihren Verbleib, <br> da sie auf die Verfehlung der Ausländerbehörde keinen Einfluss hatte. <br> <b>Auch diese Zeitung unterstützt die Forderung, dass L. bleiben darf.</b>",y,Wie stehen Sie zu der Forderung der Zeitung im obigen Text?,y,Suggeriert der Text etwas über die Geflüchtete?
1,P2,a,"Asylbewerberin in Not: <br> Eine Afghanin hat durch eine grobe Unachtsamkeit in einem Asylbewerberheim <br> einen Brand verschuldet und dabei leichte Verletzungen erlitten. <br> Da die Geflüchtete erst seit 6 Monaten in Deutschland ist, <br> bekommt sie nicht ausreichend Unterstützung von der Krankenkasse <br> und ist für eine weiterführende Behandlung auf finanzielle Unterstützung angewiesen. <br> Die Leiterin ihres Asylbewerberheims ist verärgert: <br> <b>„Diese Frau hat das Feuer selbst verschuldet, ich finde nicht, <br> dass sie weitere finanzielle Unterstützung verdient.“</b>",y,Wie stehen Sie zu der Aussage der Leiterin der Unterkunft im obigen Text?,y,Suggeriert der Text etwas über die Asylbewerberin?
1,P3,a,"Verletzter Syrer: Nach einem Brandanschlag auf seine Flüchtlingsunterkunft <br> liegt ein Asylbewerber mit Verbrennungen im Krankenhaus. <br> Die Behandlung übernimmt die Krankenkasse des Mannes jedoch nur in Teilen, <br> da er erst seit drei Monaten in Deutschland lebt. Nachdem der Leiter <br> des Krankenhauses auf die unverschuldete Situation des Mannes aufmerksam wurde, <br> sagte er dieser Zeitung: <b>„Dieser Mann verdient unsere Unterstützung.“</b>",y,Wie stehen Sie zu der Aussage des Leiters des Krankenhauses im obigen Text?,y,Suggeriert der Text etwas über den Asylbewerber?
1,P4,a,"Wegen Betrugs abgeschoben: <br> Aufgrund falscher Aussagen muss ein Geflüchteter aus Syrien Deutschland verlassen. <br> Bei der Ankunft hatte der Syrer Falschangaben zu seiner Flucht <br> über den Balkan getätigt. Die Leiterin seiner Unterkunft betont jedoch: <br> <b>„Ich finde, der Geflüchtete sollte trotzdem bleiben dürfen.""</b>",y,Wie stehen Sie zu der Aussage der Leiterin der Unterkunft im obigen Text?,y,Suggeriert der Text etwas über den Geflüchteten?
1,P5,a,"Pure Dankbarkeit: <br> Der herzliche Empfang am Münchner Hauptbahnhof rührt eine syrische Frau zu Tränen. <br> Sie sagt zu diesem Magazin: „Ich bin glücklich, dass ich nach Deutschland komme, <br> denn hier werden Flüchtlinge mit Respekt behandelt!“ <br> Unsere Redaktion ist sich einig: <b>Diese Frau nehmen wir gerne hier auf.</b> ",y,Wie stehen Sie zu der Aussage der Zeitungsredaktion im obigen Text?,y,Suggeriert der Text etwas über die Frau?
1,P6,a,"Finanzielle Unterstützung reicht nicht! <br> Der Geflüchtete C. aus dem Irak lebt seit einem halben Jahr in Deutschland <br> und ist seit längerem unzufrieden. <br> Als Unterstützung erhält er 351 Euro pro Monat vom Staat. <br> C. empfindet dies als zu wenig und beklagt sich bei der Ausländerbehörde, <br> dass er sich von der Unterstützung keinen eigenen Fernseher kaufen kann. <br> Das Geld reiche nicht aus, um gut in Deutschland leben zu können. <br> Nach dem Bekanntwerden des Falles titelt eine regionale Zeitung: <br> „Finanzielle Unterstützung reicht Flüchtling nicht aus. <br> <b>Undankbare Geflüchtete verdienen es nicht in Deutschland aufgenommen zu werden.“</b>",y,Wie stehen Sie zu dem Titel der regionalen Zeitung im obigen Text?,y,Suggeriert der Text etwas über den Geflüchteten?
1,P7,a,"Streit im Einkaufszentrum: Eine afghanische Geflüchtete ist einen Rentner <br> vor einem Supermarkt angegangen und beleidigte ihn. <br> Der ältere Herr hatte sie zuvor gebeten, ihre laut schreienden Kinder zu beruhigen. <br> Daraufhin sei die Situation eskaliert. <br> Der empörte 68-jährige sagte später dieser Zeitung: <br> <b>„So jemand verdient es nicht, in Deutschland aufgenommen zu werden.“</b>",y,Wie stehen Sie zu der Aussage des 68-jährigen im obigen Text?,y,Suggeriert der Text etwas über die Geflüchtete?
1,P8,a,"Flüchtlinge erfreuen sich an Fußballliga: <br> Die Gründung einer „Bolzplatzliga“ weckt das Interesse zahlreicher Flüchtlinge. <br> M., ein junger Syrer, ist Deutschland sehr dankbar: <br> „Ich will bleiben. Deutschland ist ein gutes Land, es gibt tolle Chancen.“ <br> Sein Trainer fügt hinzu: <b>„Er ist so dankbar - ich hoffe, dass er hierbleiben darf.“</b>",y,Wie stehen Sie zu der Aussage des Trainers im obigen Text?,y,Suggeriert der Text etwas über den Flüchtling?
1,P9,a,"Ehrenamt in der Bahnhofsmission: Nach seiner Ankunft vor sechs Monaten <br> arbeitet der Geflüchtete H. ehrenamtlich in einer Bahnhofsmission. <br> Damit möchte er nach eigener Aussage den Deutschen etwas für ihre Hilfe zurückgeben. <br> Seine Kollegin ist über die Unterstützung hocherfreut und sagt einem Lokalblatt: <br> „Für uns ist H. eine riesige Bereicherung. <b>Ich finde, <br> Menschen wie H. sollten in Deutschland ein dauerhaftes Bleiberecht erhalten.“</b>",y,Wie stehen Sie zu der Aussage der Kollegin im obigen Text?,y,Suggeriert der Text etwas über den Geflüchteten?
1,P10,a,"Abgebrochene Ausbildung: Der Cateringbetrieb Müller <br> hat vergangene Woche seiner einzigen Azubine fristlos gekündigt. <br> Die syrische Asylbewerberin war seit Wochen nicht mehr zur Arbeit erschienen. <br> Die Betriebsleiterin ist enttäuscht: <br> „Eigentlich hat am Anfang alles einigermaßen funktioniert, <br> doch dann ist sie ohne Grund einfach nicht mehr aufgetaucht. <br> <b>Ich finde trotzdem, dass sie es verdient in Deutschland bleiben zu dürfen.“</b>",y,Wie stehen Sie zu der Aussage der Betriebsleiterin im obigen Text?,y,Suggeriert der Text etwas über die Asylbewerberin?
1,P11,a,Freiwillige Mithilfe: <br> Eine irakische Geflüchtete hilft bei der Herstellung von Alltagsmasken. <br> Seit dem Ausbruch der Corona-Pandemie hat sie bereits 200 Masken hergestellt. <br> Ihre Sozialarbeiterin teilt dieser Zeitung mit: <br> „Sie ist bereit etwas zurückzugeben. <b>Solche Leute sollten bleiben dürfen.“</b>,y,Wie stehen Sie zu der Aussage der Sozialarbeiterin im obigen Text?,y,Suggeriert der Text etwas über die Geflüchtete?
1,P12,a,"Geflüchtete als Erntehelfer: Aufgrund von fehlenden Arbeitskräften <br> sollen einige Asylbewerber als Erntehelfer eingesetzt werden. <br> Eine Arbeitserlaubnis könnte kurzfristig beantragt werden, <br> damit möglichst wenige Lebensmittel weggeschmissen werden müssen. <br> Einer der Geflüchteten hat sich jedoch nicht um eine Erlaubnis bemüht. <br> Ein Landwirt ist darüber sehr wütend: <br> „Erst nehmen wir die bei uns auf und dann rühren sie keinen Finger, <br> um sich dafür zu revanchieren. <b>So jemand hat es nicht verdient hier zu bleiben.“<b/>",y,Wie stehen Sie zu der Aussage des Landwirts im obigen Text?,y,Suggeriert der Text etwas über den Geflüchteten?
1,P13,a,"Asylgesuch: Ein geflüchteter Iraker hat in Deutschland Asyl beantragt. <br> Bereits ein großer Teil seiner Familie führt ihr Leben in Deutschland. <br> Sein großer Bruder hat eine deutsche Frau geheiratet und eine Familie gegründet. <br> Der Bruder des Asylbewerbers sagt dieser Zeitung: <br> „Im Prinzip hat er schon eine deutsche Familie. <br> <b>Eigentlich sollte er das Recht haben, hier bleiben zu dürfen.“</b>",y,Wie stehen Sie zu der Aussage des Bruders im obigen Text?,y,Suggeriert der Text etwas über den Asylbewerber?
1,P14,a,"Freude über christliche Gemeinde: <br> Die Geflüchtete A. hat in Deutschland Asyl beantragt. <br> Seitdem wartet sie in einer Flüchtlingsunterkunft bei Speyer auf eine Entscheidung. <br> Die örtliche Gemeinde ist während dieser Zeit für die gläubige Christin <br> zu einem wichtigen Anlaufpunkt geworden. Der Gemeindepfarrer sagt einer Lokalzeitung: <br> „In ihrer Heimat gibt es keine so großen Kirchen wie bei uns. <br> Das ist für sie sehr besonders. <br> <b>Als Christin sollte sie in Deutschland bleiben dürfen.""</b>",y,Wie stehen Sie zu der Aussage des Pfarrers im obigen Text?,y,Suggeriert der Text etwas über die Geflüchtete?
1,P15,a,"Aufregung bei Vorstellungsrunde: <br> Ein Geflüchteter aus Syrien hat bei der Begrüßung in der Flüchtlingsunterkunft <br> einer Sozialarbeiterin den Händedruck verweigert. <br> Er begründete dies mit religiösen Vorstellungen, die er aus seinem Heimatland kennt. <br> Eine regionale Tageszeitung titelt daraufhin: <br> <b>„Wer unsere Werte gegenüber Frauen nicht ehrt und achtet, <br> hat es nicht verdient in Deutschland zu bleiben!“</b>",y,Wie stehen Sie zu dem Titel der Tageszeitung im obigen Text?,y,Suggeriert der Text etwas über den Geflüchteten?
1,P16,a,"Neue Heimat Deutschland: <br> Eine irakische Frau hat bei der deutschen Botschaft in Bagdad Asyl beantragt. <br> Die zuständige Beamtin sagte in einem vertraulichen Gespräch <br> mit dieser Zeitung jedoch: „Ganz abgesehen von der rechtlichen Frage: <br> Was will sie in Deutschland? Weder hat sie dort Familie, <br> noch kennt sie unsere Kultur oder ist Christin. <b>Menschen, die uns so fremd sind, <br> haben es eigentlich nicht verdient, in Deutschland aufgenommen zu werden.""</b>",y,Wie stehen Sie zu der Aussage der Beamtin im obigen Text?,y,Suggeriert der Text etwas über die Asylbewerberin?
1,P17,a,"Geflüchteter in Not: Ein Flüchtling aus Syrien ist schwer traumatisiert <br> und bräuchte laut seiner Sozialarbeiterin unverzüglich professionelle Behandlung. <br> Die Sozialarbeiterin sagt einer lokalen Zeitung: <br> ""M. hat schwere psychische Probleme, <br> die ihn in seinem normalen Leben unheimlich einschränken. <br> Dieser Mann braucht Unterstützung. <b>Er verdient unsere Hilfe.“</b>",y,Wie stehen Sie zu der Aussage der Sozialarbeiterin im obigen Text?,y,Suggeriert der Text etwas über den Flüchtling?
1,P18,a,"Geflüchtete braucht Unterstützung: <br> Die Geflüchtete A. aus Syrien sucht Unterstützung für den Alltag. <br> Nach ihrer Flucht musste der Frau ein Bein amputiert werden, <br> sodass sie sich nur eingeschränkt versorgen kann. <br> Ihre Sozialarbeiterin lässt über diese Zeitung wissen: <br> „A. braucht Unterstützung, besonders bei Einkäufen.“ <br> Ein Nachbar möchte nicht helfen. Er sagt auf Anfrage: <br> <b>„Ich finde diese Frau hat schon genug erhalten <br> und sollte keine weitere Hilfe bekommen.“</b>",y,Wie stehen Sie zu der Aussage des Nachbarn im obigen Text?,y,Suggeriert der Text etwas über die Geflüchtete?
1,P19,a,"Baustellenlärm und Traumata: <br> Die Bewohner einer Flüchtlingsunterkunft beklagen sich über den Lärm einer Baustelle <br> in unmittelbarer Nähe. Ein Sozialarbeiter warnt, <br> dass die lauten Geräusche bei den Flüchtlingen Kriegstraumata hervorrufen könnten <br> und ihnen psychisch zusetzten. Ein Vorarbeiter entgegnet jedoch: <br> „Wir zahlen schon für ihre Aufnahme, mit der sie aus dem Gröbsten raus sind. <br> Es ist nicht bewiesen, dass Lärm Traumata wieder hervorruft.“ <br> Und der Bauleiter ergänzt: <b>„Noch mehr Rücksichtnahme geht echt zu weit.“</b>",y,Wie stehen Sie zu der Aussage des Bauleiters im obigen Text?,y,Suggeriert der Text etwas über die Flüchtlinge?
1,P20,a,"Schiefe Zähne begradigen: Die syrische Geflüchtete F. möchte eine Zahnspange, <br> um ihre langjährige Zahnfehlstellung zu beheben. <br> Die Kosten für den Einsatz einer Zahnspange werden allerdings nur <br> bei „unaufschiebbaren medizinischen Gründen“ erstattet, <br> die laut der Krankenkasse in diesem Fall nicht vorliegen. <br> Eine freiwillige Flüchtlingshelferin bittet nun <br> in der Nachbarschaft um Spenden für F.: <br> <b>„Sie braucht finanzielle Unterstützung, wir sollten ihr helfen.“</b>",y,Wie stehen Sie zu der Aussage der Freiwilligen im obigen Text?,y,Suggeriert der Text etwas über die Geflüchtete?
1,P21,a,"Moralischer Imperativ? In einer politischen Talkrunde diskutieren Lokalpolitiker <br> mit den Anwohnern einer Flüchtlingsunterkunft, die sich gerade noch im Bau befindet. <br> Einer der Politiker findet, dass allen Flüchtlingen geholfen werden sollte <br> und wehrt sich dagegen zu unterscheiden, <br> welche Flüchtlinge eher Hilfe benötigen als andere. Er sagt: <br> ""Flüchtlingen zu helfen ist ein Gebot der Mitmenschlichkeit. <br> <b>Kein Flüchtling hat mehr oder weniger Hilfe verdient als ein anderer.""</b>",y,Wie stehen Sie zu der Aussage des Politikers im obigen Text?,y,Suggeriert der Text etwas über Flüchtlinge?
1,P22,a,"Debatte über Flüchtlinge im Netz: In einer angeregten Diskussion <br> über Flüchtlingshilfe auf Facebook taucht ein Argument immer wieder auf. <br> Der User Arthur87 formuliert es wie folgt: ""Jedem Flüchtling sollte geholfen werden. <br> <b>Es ist falsch zwischen Flüchtlingen aufgrund ihrer individuellen Charakteristika <br> zu unterscheiden, Flüchtlingshilfe ist nichts, was sich erst verdient werden muss.""</b>",y,Wie stehen Sie zu der Aussage des Users im obigen Text?,y,Suggeriert der Text etwas über Flüchtlinge?
1,P23,a,"Unterschiedliche Meinungen auf Demonstration: Bei einer Demonstration <br> gegen die Errichtung einer neuen Flüchtlingsunterkunft werden sowohl Demonstranten, <br> als auch Gegendemonstranten interviewt. <br> Unter den Gegnern der Unterkunft meldet sich ein Mann ungefragt zu Wort. Er sagt: <br> ""Jeder ist seines eigenen Glückes Schmied. <br> <b>Es ist falsch, dass sich der Staat einmischt - auch bei der Flüchtlingshilfe.""</b>",y,Wie stehen Sie zu der Aussage des Demonstranten im obigen Text?,y,Suggeriert der Text etwas über Flüchtlinge?
1,P24,a,"Die Grenzen des Machbaren: In einer Debatte über die Aufnahme <br> von Geflüchteten in der Bundesrepublik lehnt es ein Diskussionsteilnehmer ab, <br> Flüchtlinge aufgrund ihrer individuellen Eigenschaften aufzunehmen. Er sagt: <br> <b>""Das Boot ist voll. Wir haben bereits zu viele Flüchtlinge, <br> wir haben einfach nicht die Mittel, noch mehr aufzunehmen!""</b>",y,Wie stehen Sie zu der Aussage des Diskussionsteilnehmers im obigen Text?,y,Suggeriert der Text etwas über Geflüchtete?
2,L_P1,p,<b>Der große Irrtum</b> über die Flüchtlingseinwanderung: <br> Das Arbeitsmarktwunder für Flüchtlinge ist ausgeblieben.<br> Denn das Gros der Neuankömmlinge bestand leider nicht <br> aus syrischen Ärzten und Ingenieuren. ,y,Wie spricht der Autor über den Irrtum?,y,Suggeriert der Text etwas über die Verantwortlichen?
2,L_N2,n,Die Grünen haben in der Bundestagssitzung <br> den Ausbau der Infrastruktur und den Datenschutz vorgeschlagen. <br> <b>Die CDU</b> hat sie blockiert.,y,Wie spricht der Autor über die CDU?,y,Suggeriert der Text etwas über die CDU?
2,L_K3,k,<b>Flüchtlings-Mauer</b> spaltet München: <br> Die Stadt muss nach Anwohnerklagen eine Steinwand gegen Lärm errichten. <br> Sie soll die Münchner vor Lärm aus dem Flüchtlingswohnheim beschützen.,y,Wie spricht der Autor über die Mauer?,y,Suggeriert der Text etwas über die Mauer?
2,L_P4,p,"Neue Stelle für kopftuchtragende <b>Praktikantin</b>: <br> Elisabeth Herzog-von der Heide (SPD) aus Luckenwalde hatte eine Praktikantin (48) <br> am ersten Tag gefeuert, weil die Asylbewerberin ihr Kopftuch nicht abnehmen wollte. <br> Nun hospitiert die Palästinenserin bei der städtischen Wohnungsbaugesellschaft.",y,Wie spricht der Autor über die Praktikantin?,y,Suggeriert der Text etwas über die Praktikantin?
2,L_N5,n,"In Europa explodieren die Corona-Zahlen. <br> Und wie sieht es <b>in China</b> aus? <br> Lange schien es so, als hätte das Land das Virus im Griff. <br> Positiv getestete Personen hatten sich vorwiegend im Ausland angesteckt. <br> Dieser Trend ändert sich jetzt.",y,Wie spricht der Autor über China?,y,Suggeriert der Text etwas über China?
2,L_K6,k,<b>China-Hacker</b> spionierten Coronaforschung aus: <br> Das US-Justizministerium wirft zwei chinesischen Hackern den Diebstahl von <br> Geschäftsgeheimnissen und geistigem Eigentum im Wert von <br> hunderten Millionen Dollar vor. <br> Auch Unternehmen in der Coronaforschung waren Ziel des Angriffs.,y,Wie spricht der Autor über die Hacker?,y,Suggeriert der Text etwas über die Hacker?
2,L_P7,p,<b>Klimaaktivistin Greta</b> geht wieder zur Schule: <br> Sie ist die berühmteste Schulschwänzerin der Welt. <br> Doch im August beginnt für sie die gymnasiale Oberstufe – <br> und da will sie wieder die Schulbank drücken wie die anderen Gleichaltrigen auch.,y,Wie spricht der Autor über Greta Thunberg?,y,Suggeriert der Text etwas über Greta Thunberg?
2,L_N8,n,"So sieht Social Distancing bei <b>Kim Jong-Un</b> aus: <br> Offiziell gibt es in Nordkorea keinen einzigen Coronafall – <br> trotzdem wurden in dem Land Quarantänemaßnahmen beschlossen. <br> Auch Diktator Kim Jong-Un praktiziert öffentlich Social Distancing, <br> allerdings scheint dabei nur er selbst schützenswert zu sein.",y,Wie spricht der Autor über Kim Jong-Un?,y,Suggeriert der Text etwas über Kim Jong-Un?
2,L_K9,k,"Ramelow spricht beim Blick auf die Partei von <br> „Schrammen in der Seele, die nicht vergehen.“ <br> Es sind die Schrammen der Stasi-Spitzelei und <b>der Allesbestimmerpartei</b>. <br> Aus seiner Sicht ist es so falsch, die Vergangenheit zu verschweigen, <br> wie ewig darauf herumzuhacken, ohne die Aufarbeitung zu würdigen.",y,Wie spricht der Autor über die Partei SED?,y,Suggeriert der Text etwas über die SED?
2,L_P10,p,"Das ist auch Kommunikationskultur: <br> alle darüber debattieren lassen, ob sie sich angemessen porträtiert fühlen. <br> Der Essener Kommissar <b>Hans Haferkamp</b>, der nebenberuflich Frikadellen popularisierte,<br> gespielt von Hansjörg Felmy, ermittelte in Suddenrath, einem Vorort von Düsseldorf. <br> Dort geht er Verbrechen auf den Grund.",y,Wie spricht der Autor über Hans Haferkamp?,y,Suggeriert der Text etwas über Hans Haferkamp?
2,L_N11,n,"<b>Flüchtling Yussif O.</b> soll zurück in das Land, <br> aus dem er zu uns gekommen ist. <br> Sein Anwalt wehrt sich jetzt.",y,Wie spricht der Autor über den Flüchtling?,y,Suggeriert der Text etwas über den Flüchtling?
2,L_K12,k,"Die <b>Lockdown-Denkfehler</b> der Regierung: <br> Der Lockdown wird verlängert, verlängert und verlängert. <br> Schuld daran ist nicht nur die Corona-Pandemie, sondern auch die Strategie der Politik.",y,Wie spricht der Autor über den Denkfehler?,y,Suggeriert der Text etwas über den Denkfehler?
2,L_P13,p,"In Städten und Landkreisen mit einer 7-Tages-Inzidenz von <br> über 200 Neuinfektionen pro 100 000 Einwohnern soll der Bewegungsradius der Menschen <br> auf 15 Kilometer um den Wohnort beschränkt werden, „sofern kein triftiger Grund vorliegt“, <br> wie es im Beschluss heißt. <br> <b>Jetzt legt uns die Regierung mit Ausgangsbeschränkungen an die Leine.</b>",y,Wie spricht der Autor über den Beschluss der Regierung?,y,Suggeriert der Text etwas über den Beschluss der Regierung?
2,L_N14,n,Der Bund hat mehr als 108 Millionen Masken für deutsche Kliniken und Arztpraxen <br> in China gekauft. Jedoch sind etwa 10 Prozent <b>dieser Masken</b> <br> für medizinische Zwecke ungeeignet.,y,Wie spricht der Autor über die Masken?,y,Suggeriert der Text etwas über die Masken?
2,L_K15,k,"Alaa M., der in 2011 als Arzt im Gefängnis des Militärischen Geheimdienstes <br> in der Stadt Homs (Syrien) arbeitete, soll mindestens zweimal <br> einen Häftling gefoltert haben. Die Bundesanwaltschaft wirft ihm <br> Verbrechen gegen die Menschlichkeit und gefährliche Körperverletzung vor. <br> <b>Am 19. Juni 2020 nahm das BKA den Folter-Arzt in Hessen fest.</b>",y,Wie spricht der Autor über Alaa M.?,y,Suggeriert der Text etwas über Alaa M.?
